ID,Type,Status,URL,Notes
8959,Project,In URL file but missing from API,https://mininghub.com/project/far-fanning/8959,URL exists but project not found in API response
8703,Project,In URL file but missing from API,https://mininghub.com/project/lady-jenny/8703,URL exists but project not found in API response
17525,Project,In URL file but missing from API,https://mininghub.com/project/lake-kerrylyn/17525,URL exists but project not found in API response
15628,Project,In URL file but missing from API,https://mininghub.com/project/torrens/15628,URL exists but project not found in API response
17631,Project,In URL file but missing from API,https://mininghub.com/project/garawa/17631,URL exists but project not found in API response
15548,Project,In URL file but missing from API,https://mininghub.com/project/eagle-plainstrident-option-claims/15548,URL exists but project not found in API response
16533,Project,In URL file but missing from API,https://mininghub.com/project/southern-cross--marvel-loch/16533,URL exists but project not found in API response
16528,Project,In URL file but missing from API,https://mininghub.com/project/montague/16528,URL exists but project not found in API response
8157,Project,In URL file but missing from API,https://mininghub.com/project/parkes/8157,URL exists but project not found in API response
8735,Project,In URL file but missing from API,https://mininghub.com/project/eileen-bore/8735,URL exists but project not found in API response
16870,Project,In URL file but missing from API,https://mininghub.com/project/discovery-range/16870,URL exists but project not found in API response
8550,Project,In URL file but missing from API,https://mininghub.com/project/guigues/8550,URL exists but project not found in API response
16164,Project,In URL file but missing from API,https://mininghub.com/project/carr-boyd/16164,URL exists but project not found in API response
8965,Project,In URL file but missing from API,https://mininghub.com/project/tambourah/8965,URL exists but project not found in API response
9941,Project,In URL file but missing from API,https://mininghub.com/project/pr0970/9941,URL exists but project not found in API response
3375,Project,In URL file but missing from API,https://mininghub.com/project/medicine-springs/3375,URL exists but project not found in API response
8960,Project,In URL file but missing from API,https://mininghub.com/project/granite-castle/8960,URL exists but project not found in API response
16841,Project,In URL file but missing from API,https://mininghub.com/project/maldorky/16841,URL exists but project not found in API response
8363,Project,In URL file but missing from API,https://mininghub.com/project/sunrise/8363,URL exists but project not found in API response
7133,Project,In URL file but missing from API,https://mininghub.com/project/yamarna/7133,URL exists but project not found in API response
7453,Project,In URL file but missing from API,https://mininghub.com/project/julimar-north/7453,URL exists but project not found in API response
8369,Project,In URL file but missing from API,https://mininghub.com/project/merian/8369,URL exists but project not found in API response
16967,Project,In URL file but missing from API,https://mininghub.com/project/pontax-east/16967,URL exists but project not found in API response
8137,Project,In URL file but missing from API,https://mininghub.com/project/cancet-west/8137,URL exists but project not found in API response
16492,Project,In URL file but missing from API,https://mininghub.com/project/zeehan/16492,URL exists but project not found in API response
8677,Project,In URL file but missing from API,https://mininghub.com/project/rottenstone/8677,URL exists but project not found in API response
2717,Project,In URL file but missing from API,https://mininghub.com/project/legacy/2717,URL exists but project not found in API response
17310,Project,In URL file but missing from API,https://mininghub.com/project/chichester/17310,URL exists but project not found in API response
16431,Project,In URL file but missing from API,https://mininghub.com/project/carolina/16431,URL exists but project not found in API response
1044,Project,In URL file but missing from API,https://mininghub.com/project/bellehelen/1044,URL exists but project not found in API response
13013,Project,In URL file but missing from API,https://mininghub.com/project/dragon/13013,URL exists but project not found in API response
16680,Project,In URL file but missing from API,https://mininghub.com/project/springsure/16680,URL exists but project not found in API response
6695,Project,In URL file but missing from API,https://mininghub.com/project/mount-squires/6695,URL exists but project not found in API response
8269,Project,In URL file but missing from API,https://mininghub.com/project/trouble-bore/8269,URL exists but project not found in API response
